id,area_ha,perimeter_m,compactness,width_m,height_m,cause
37,0.0005,12.0,0.4363323129985824,4.0,2.0,indetermine
113,0.0005,12.0,0.4363323129985824,3.0,3.0,indetermine
121,0.0005,12.0,0.4363323129985824,3.0,3.0,indetermine
192,0.0005,12.0,0.4363323129985824,2.0,4.0,indetermine
276,0.0005,10.0,0.6283185307179586,2.0,3.0,indetermine
25,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
73,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
81,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
114,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
122,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
203,0.0004,10.0,0.5026548245743669,1.0,4.0,indetermine
309,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
331,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
339,0.0004,10.0,0.5026548245743669,1.0,4.0,indetermine
363,0.0004,10.0,0.5026548245743669,2.0,3.0,indetermine
364,0.0004,10.0,0.5026548245743669,3.0,2.0,indetermine
7,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
19,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
51,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
74,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
94,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
133,0.0003,8.0,0.5890486225480862,1.0,3.0,indetermine
136,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
158,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
161,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
166,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
179,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
183,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
280,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
282,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
313,0.0003,8.0,0.5890486225480862,1.0,3.0,indetermine
323,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
324,0.0003,8.0,0.5890486225480862,3.0,1.0,indetermine
335,0.0003,8.0,0.5890486225480862,2.0,2.0,indetermine
1,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
5,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
10,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
17,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
18,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
21,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
45,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
47,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
54,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
61,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
64,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
71,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
80,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
85,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
87,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
88,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
89,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
91,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
125,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
145,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
147,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
149,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
163,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
171,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
173,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
176,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
180,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
187,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
190,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
195,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
197,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
202,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
209,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
210,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
231,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
233,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
234,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
237,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
238,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
241,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
253,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
256,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
262,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
263,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
264,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
303,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
310,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
317,0.0002,6.0,0.6981317007977318,1.0,2.0,indetermine
345,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
360,0.0002,6.0,0.6981317007977318,2.0,1.0,indetermine
0,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
2,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
6,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
8,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
11,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
12,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
14,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
16,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
20,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
24,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
28,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
32,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
35,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
36,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
38,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
39,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
40,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
